Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB(Total),AST,TOV,STL,BLK,BLK(Against),PF,PF(Drawn),+/-,YR,CHAMP
San Antonio Spurs,72,33,39,0.46,48.6,111.1,41.9,90.5,46.2,9.9,28.4,35,17.4,22,79.2,9.3,34.6,43.9,24.4,11.4,7,5.1,5.1,18,18.6,-1.7,2021,0
Brooklyn Nets,82,32,50,0.39,48.3,110.4,40.7,89.1,45.6,13.3,36.7,36.2,15.8,20.9,75.6,11.4,32.6,44.1,25.6,13.1,6.8,5.2,5,18.5,18.2,-2.9,2024,0
New York Knicks,82,32,50,0.39,48.3,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7,2016,0
Sacramento Kings,82,32,50,0.39,48.5,102.8,37.9,82.1,46.1,9,23.9,37.6,18.1,23.3,77.5,8.7,32.3,41.1,22.5,14.6,7.6,4,5.1,20.3,20.1,-3.9,2017,0
San Antonio Spurs,71,32,39,0.45,48.5,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19,23.4,81,9,35.6,44.6,24.7,12.6,7.3,5.5,4.3,19.4,20.1,-1.1,2020,0
Washington Wizards,82,32,50,0.39,48.6,114,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2,-2.9,2019,0
Chicago Bulls,72,31,41,0.43,48.3,110.7,42.2,88.6,47.6,12.6,34,37,13.8,17.5,79.1,9.6,35.3,45,26.8,15.1,6.7,4.2,5.1,18.9,17.7,-0.9,2021,0
Minnesota Timberwolves,82,31,51,0.38,48.3,105.6,39.5,84.4,46.7,7.3,21,34.9,19.3,24.2,79.9,11.4,31,42.4,23.7,14,8,4.5,5,20.1,20.5,-1.1,2017,0
New Orleans Pelicans,72,31,41,0.43,48.4,114.6,42.5,89.1,47.7,10.6,30.4,34.8,19,26.1,72.9,11.7,35.7,47.4,26,14.6,7.6,4.4,5.9,18,21.3,-0.3,2021,0
New York Knicks,82,31,51,0.38,48.4,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12,33.2,45.2,21.8,13.9,7.1,5.5,4.6,20.3,18.5,-3.7,2017,0
Sacramento Kings,72,31,41,0.43,48.1,113.7,42.6,88.6,48.1,12.1,33.3,36.4,16.4,22,74.5,9.4,32,41.4,25.5,13.4,7.5,5,4.7,19.4,18.7,-3.7,2021,0
Sacramento Kings,72,31,41,0.43,48.5,110.1,40.9,88.4,46.2,12.7,34.9,36.4,15.7,20.3,77,9.7,32.9,42.6,23.8,14.5,7.7,4.1,4.2,22.2,19.5,-2,2020,0
Utah Jazz,82,31,51,0.38,48.3,115.7,42,89.9,46.7,12.9,36.5,35.4,18.8,22.6,83,12.2,33.2,45.5,27.2,15.7,6.5,5.6,6.4,18.6,19.2,-4.9,2024,0
New Orleans Pelicans,72,30,42,0.42,48.4,115.8,42.6,91.6,46.5,13.6,36.9,37,17.1,23.4,72.9,11.1,35.4,46.5,26.8,16.4,7.5,5,4.8,21.2,21.1,-1.3,2020,0
New Orleans Pelicans,82,30,52,0.37,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8,2016,0
Sacramento Kings,82,30,52,0.37,48.3,110.3,40.5,88.1,46,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,14.1,7.2,4.5,4.8,18.9,20.3,-5.5,2022,0
Toronto Raptors,82,30,52,0.37,48.3,110.9,41.6,91,45.8,11.8,34,34.8,15.8,21.1,74.8,12.6,32.5,45.1,28.5,15.3,8.1,4.2,5.9,21.2,18.1,-4.3,2025,0
Atlanta Hawks,82,29,53,0.35,48.4,113.3,41.4,91.8,45.1,13,37,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,17,8.2,5.1,5.5,23.6,22.2,-6,2019,0
Minnesota Timberwolves,82,29,53,0.35,48.5,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,-3.5,2016,0
New York Knicks,82,29,53,0.35,48.4,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19,78.7,10.5,33.6,44,23.3,14.7,6.7,5.1,4.7,20.5,18.4,-3.6,2018,0
Orlando Magic,82,29,53,0.35,48.3,101.1,38.3,87,44,8.5,26.1,32.8,16,21.4,74.7,9.8,33.3,43.2,22.2,13.3,7.1,4.8,5.1,19.3,18.7,-6.6,2017,0
Brooklyn Nets,82,28,54,0.34,48.4,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,15.2,6.2,4.8,5.5,20.6,19.7,-3.7,2018,0
Philadelphia 76ers,82,28,54,0.34,48.4,102.4,37.7,85.3,44.2,10.1,29.8,34,17,22,77.1,9.8,33,42.8,23.8,16.7,8.4,5.1,5.4,21.9,19.6,-5.7,2017,0
Charlotte Hornets,82,27,55,0.33,48.4,111,41.3,90.4,45.7,10.7,32.5,33,17.6,23.6,74.9,11,33.5,44.5,25.1,14.2,7.7,5.2,5.7,20.3,20.3,-6.2,2023,0
Chicago Bulls,82,27,55,0.33,48.4,102.9,38.7,88.8,43.5,11,31.1,35.5,14.6,19.2,75.9,9.6,35,44.7,23.5,14,7.6,3.5,5.2,19.2,17.4,-7,2018,0
Memphis Grizzlies,82,27,55,0.33,48.2,105.8,38.4,88.2,43.5,13.1,37.8,34.6,16,21,76.4,10.9,31.7,42.6,24.7,15.1,8.2,6.1,6.5,19.1,18.8,-7,2024,0
Portland Trail Blazers,82,27,55,0.33,48.1,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76,10.4,32.5,42.9,22.9,14.5,8,4.5,5,21.1,19.4,-8.9,2022,0
Sacramento Kings,82,27,55,0.33,48.2,98.8,38.8,86.1,45,9,24,37.5,12.3,16.7,73.5,9.5,31.4,40.9,21.6,13.7,7.8,4.1,4.7,20,17.3,-7,2018,0
Toronto Raptors,72,27,45,0.38,48.1,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,13.2,8.6,5.4,5.6,21.2,19.5,-0.5,2021,0
Brooklyn Nets,82,26,56,0.32,48.2,105.1,37.6,86.1,43.7,13.6,39.4,34.4,16.3,20.7,78.7,10.9,30.4,41.3,25.2,15.2,7.8,4.3,5.6,20.7,18.9,-7.1,2025,0
Los Angeles Lakers,82,26,56,0.32,48.1,104.6,39.3,87.4,45,8.9,25.7,34.6,17,22.6,75.4,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5,-6.9,2017,0
Indiana Pacers,82,25,57,0.31,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5,2022,0
Orlando Magic,82,25,57,0.31,48.1,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,14.5,7.6,4.9,4.9,19.3,19,-4.8,2018,0
Toronto Raptors,82,25,57,0.31,48.3,112.4,42.3,89.7,47.1,11.5,33.1,34.7,16.3,21.6,75.6,10.9,31.8,42.7,28.5,14,7.7,4.7,5.8,18.4,18.1,-6.4,2024,0
Washington Wizards,72,25,47,0.35,48.2,114.4,41.5,90.9,45.7,12,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42,25,14.2,8,4.3,5,22.7,22.2,-4.7,2020,0
Atlanta Hawks,82,24,58,0.29,48.1,103.4,38.2,85.5,44.6,11.2,31,36,15.8,20.2,78.5,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,-5.5,2018,0
Dallas Mavericks,82,24,58,0.29,48.3,102.3,38.1,85.9,44.4,11.8,32.8,36,14.2,18.7,76.3,8.1,33.1,41.3,22.7,12.3,7,3.8,4.5,19.2,19.6,-3,2018,0
Oklahoma City Thunder,82,24,58,0.29,48.3,103.7,38.3,89.1,43,12.1,37.4,32.3,15,19.9,75.6,10.4,35.2,45.6,22.2,14,7.6,4.6,6,18.3,17.8,-8.1,2022,0
Philadelphia 76ers,82,24,58,0.29,48.3,109.6,39.7,87.4,45.4,12.7,37.2,34.1,17.5,22.5,78,10.4,29.4,39.8,23.2,13.6,9.2,4.5,5.1,19,18.7,-6.2,2025,0
Phoenix Suns,82,24,58,0.29,48.4,107.7,39.9,88.5,45,7.5,22.6,33.2,20.4,26.3,77.6,11.9,33.1,45,19.6,15.4,8.2,4.9,5.3,24.8,22.2,-5.6,2017,0
Charlotte Hornets,65,23,42,0.35,48.5,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11,31.8,42.8,23.8,14.6,6.6,4.1,5,18.8,20.6,-6.8,2020,0
Detroit Pistons,82,23,59,0.28,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7,2022,0
Minnesota Timberwolves,72,23,49,0.32,48.3,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33,43.5,25.6,14.3,8.8,5.5,5.5,20.9,19.9,-5.6,2021,0
Phoenix Suns,82,23,59,0.28,48.1,100.9,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,-6.7,2016,0
Chicago Bulls,65,22,43,0.34,48.2,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,15.5,10,4.1,5.9,21.8,19.2,-3.1,2020,0
Chicago Bulls,82,22,60,0.27,48.5,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,-8.4,2019,0
Cleveland Cavaliers,72,22,50,0.31,48.4,103.8,38.6,85.8,45,10,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,-8.4,2021,0
Houston Rockets,82,22,60,0.27,48.2,110.7,40.6,88.9,45.7,10.4,31.9,32.7,19.1,25.3,75.4,13.4,32.9,46.3,22.4,16.2,7.3,4.6,6.2,20.5,20.6,-7.9,2023,0
Memphis Grizzlies,82,22,60,0.27,48.1,99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31,40.5,21.5,15,7.5,4.8,5.1,23.2,20.4,-6.2,2018,0
Oklahoma City Thunder,72,22,50,0.31,48.2,105,38.8,88,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,16.1,7,4.4,5.3,18.1,18.6,-10.6,2021,0
Orlando Magic,82,22,60,0.27,48.2,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,14.5,6.8,4.5,5.2,19.7,18.3,-8,2022,0
San Antonio Spurs,82,22,60,0.27,48.4,112.1,41.9,90.7,46.2,12.6,36.4,34.7,15.6,20,78.2,10.4,33.9,44.2,29.9,15.1,7.1,6.3,4.6,17.2,17.9,-6.5,2024,0
San Antonio Spurs,82,22,60,0.27,48.4,113,43.1,92.6,46.5,11.1,32.2,34.5,15.8,21.2,74.3,11.8,31.9,43.7,27.2,15.3,7,3.9,5.3,19.9,18.5,-10,2023,0
Brooklyn Nets,82,21,61,0.26,48.2,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,-7.4,2016,0
Charlotte Hornets,82,21,61,0.26,48.1,106.6,40,87,46,12.1,34,35.5,14.5,18.4,78.6,9.3,31,40.3,24.8,13.8,6.9,4.5,4.8,18,17.5,-10.2,2024,0
New Orleans Pelicans,82,21,61,0.26,48.2,109.8,40.6,89.9,45.2,12,34.6,34.7,16.5,21.9,75.4,12.1,31.5,43.6,25.8,14.6,8.5,5.2,5.2,18.3,17.9,-9.4,2025,0
New York Knicks,66,21,45,0.32,48.4,105.8,40,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12,34.5,46.5,22.1,14.3,7.6,4.7,5,22.2,19.8,-6.5,2020,0
Orlando Magic,72,21,51,0.29,48.1,104,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,12.8,6.9,4.4,5.3,17.2,18.6,-9.3,2021,0
Phoenix Suns,82,21,61,0.26,48.1,103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.9,44.1,21.3,15.7,6.9,4.5,6,22,20.9,-9.4,2018,0
Portland Trail Blazers,82,21,61,0.26,48.5,106.4,39.4,89.7,43.9,11.5,33.2,34.5,16.2,20.5,79.1,12.6,30.1,42.7,23.1,15.2,7.6,4.3,6.4,20.2,17.9,-9,2024,0
Atlanta Hawks,67,20,47,0.3,48.6,111.8,40.6,90.6,44.9,12,36.1,33.3,18.5,23.4,79,9.9,33.4,43.3,24,16.2,7.8,5.1,6.4,23.1,21,-8,2020,0
Brooklyn Nets,82,20,62,0.24,48.2,105.8,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,21,20.4,-6.7,2017,0
Detroit Pistons,66,20,46,0.3,48.4,107.2,39.3,85.7,45.9,12,32.7,36.7,16.6,22.4,74.3,9.8,32,41.7,24.1,15.3,7.4,4.5,5.6,19.7,19.8,-3.6,2020,0
Detroit Pistons,72,20,52,0.28,48.4,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,14.9,7.4,5.2,5.8,20.5,20.4,-4.5,2021,0
Houston Rockets,82,20,62,0.24,48.2,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42,23.6,16.5,7.3,4.7,5.8,20.6,22.1,-8.5,2022,0
Charlotte Hornets,82,19,63,0.23,48.2,105.1,38.3,89.1,43,13,38.3,33.9,15.5,19.8,78.3,12.2,33,45.2,24.3,15.5,7.4,4.5,5.3,18.7,18.1,-9.1,2025,0
Cleveland Cavaliers,65,19,46,0.29,48.4,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,-7.9,2020,0
Cleveland Cavaliers,82,19,63,0.23,48.2,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20,19.4,-9.6,2019,0
Minnesota Timberwolves,64,19,45,0.3,48.6,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,15.3,8.7,5.7,5.5,21.4,21.6,-4.3,2020,0
Phoenix Suns,82,19,63,0.23,48.5,107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1,31.3,40.4,23.9,15.6,9,5.1,5,23.6,20.7,-9.3,2019,0
Washington Wizards,82,18,64,0.22,48.1,108,39.4,89.9,43.9,13.1,39.1,33.5,16,20.6,77.8,10.6,33.1,43.7,25.1,15.6,7.6,5.1,5.2,19.7,18.2,-12.4,2025,0
Detroit Pistons,82,17,65,0.21,48.3,110.3,39.6,87.1,45.4,11.4,32.4,35.1,19.8,25.7,77.1,11.2,31.3,42.4,23,15.1,7,3.8,5.5,22.1,21,-8.2,2023,0
Houston Rockets,72,17,55,0.24,48.1,108.8,39.3,88.5,44.4,13.8,40.6,33.9,16.5,22.3,74,9.3,33.3,42.6,23.6,14.7,7.6,5,5.3,19.5,19.3,-7.9,2021,0
Los Angeles Lakers,82,17,65,0.21,48.1,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,-9.6,2016,0
New York Knicks,82,17,65,0.21,48.2,104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5,34.3,44.7,20.1,14,6.8,5.1,5.6,20.9,20.8,-9.2,2019,0
Utah Jazz,82,17,65,0.21,48.3,111.9,40.3,88.7,45.4,14,39.8,35,17.3,22.4,77.4,12,33.4,45.4,25.5,17.2,6.8,4.4,6.4,18.9,19.3,-9.3,2025,0
Golden State Warriors,65,15,50,0.23,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,-8.7,2020,0
Washington Wizards,82,15,67,0.18,48.1,113.7,43,91.4,47,12.4,35.5,34.8,15.4,20.2,76.4,9.2,31.9,41.1,27.9,14,7.6,5.1,6,20,18,-9.3,2024,0
Detroit Pistons,82,14,68,0.17,48.2,109.9,40.9,88.2,46.3,11,31.7,34.8,17,21.7,78.5,10.5,32.8,43.3,25.5,15.2,6.5,4.7,6,20.6,17.8,-9.1,2024,0
Philadelphia 76ers,82,10,72,0.12,48.3,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,2016,0
Oklahoma City Thunder,21,20,1,0.95,49,122.2,43.6,89.5,48.7,13.6,37.5,36.2,21.5,25.5,84.1,9.3,35.6,45.0,26.2,12.7,10.4,5.5,3.9,21.5,22.6,15.5,2026,0
Detroit Pistons,20,16,4,0.80,48.3,119.8,43.7,89.6,48.8,11.3,31.4,35.9,21.1,28.3,74.6,13.4,33.0,46.4,26.5,15.9,9.8,6.0,4.9,23.4,23.5,5.8,2026,0
Los Angeles Lakers,19,15,4,0.79,48,119.6,42.4,82.6,51.3,11.6,33.1,35,23.3,29.2,79.8,9.5,31.6,41.1,26.1,15.9,8.8,3.8,3.5,19.8,23.5,4.3,2026,0
Houston Rockets,17,13,4,0.77,48.9,121.6,44.0,91.4,48.2,12.5,30.9,40.6,21.1,26.9,78.3,16.6,32.7,49.4,25.5,15.4,9.6,4.9,5.0,20.5,22.6,11.7,2026,0
Denver Nuggets,19,14,5,0.74,48.3,124.8,44.8,87.8,51.1,13.4,34.3,39.2,21.7,25.9,83.6,11.6,34.1,45.7,29.5,14.2,7.0,3.9,4.3,19.8,22.2,9.7,2026,0
New York Knicks,19,13,6,0.68,48,120.4,43.2,91.8,47,15.3,41.3,37.1,18.8,23.4,80.2,14.2,32.3,46.5,27.2,13.7,8.4,4.3,4.3,21.1,21,7.5,2026,0
San Antonio Spurs,19,13,6,0.68,48.3,118.8,42.6,86.9,49,12.9,36.3,35.7,20.7,25.7,80.7,11.4,33.5,44.8,25.9,15.0,8.9,4.9,3.9,20.7,21.8,5.3,2026,0
Toronto Raptors,21,14,7,0.67,48.2,117.6,43.3,88.5,49,11.7,32.1,36.4,19.2,25,77.1,10.4,32.3,42.7,29.7,14.3,8.9,4.2,5.6,21.8,19.9,4.7,2026,0
Miami Heat,20,13,7,0.65,48.3,123.6,44.7,93.0,48,13.2,35.3,37.3,21.1,26.6,79.3,10.6,35.5,46.0,30.1,14.6,9.2,4.3,5.4,20.3,21.6,5.4,2026,0
Atlanta Hawks,21,13,8,0.62,48.5,118.9,43.5,89.1,48.8,13.8,37.2,37,18.2,23.5,77.5,9.9,32.1,42.0,31.0,15.3,9.3,5.5,4.2,21.0,20.1,2.3,2026,0
Minnesota Timberwolves,20,12,8,0.60,48.3,119.2,42.5,87.3,48.7,14.4,37.2,38.6,19.9,26.2,76.1,11.0,32.5,43.5,26.4,15.3,8.6,5.0,4.2,22.4,22.1,5.1,2026,0
Orlando Magic,20,12,8,0.60,48.3,119.3,41.6,87.3,47.6,11.4,32.7,34.7,24.8,30.7,80.9,12.1,32.7,44.8,25.6,14.8,8.5,5.3,5.3,21.8,23.9,5.2,2026,0
Cleveland Cavaliers,21,12,9,0.57,48.2,118.8,42.1,91.4,46,15.8,44.7,35.4,18.8,24.8,75.8,12.1,31.6,43.7,27.2,14.6,9.0,5.4,4.0,21.4,21.9,3.2,2026,0
Phoenix Suns,21,12,9,0.57,48.2,116.7,41.9,89.7,46.7,15.0,40.2,37.4,17.8,22.3,79.9,13.1,30.3,43.4,25.5,16.3,10.6,4.4,4.5,23.0,20,2.7,2026,0
Boston Celtics,20,11,9,0.55,48,114.9,42.4,91.8,46.1,15.3,43.0,35.6,14.9,19.3,77.4,13.2,31.3,44.5,24.2,11.8,8.3,5.4,4.8,23.2,19.3,4,2026,0
Philadelphia 76ers,19,10,9,0.53,49.1,118.2,41.9,90.6,46.2,13.3,36.9,36.1,21.1,26,81,12.0,32.2,44.2,25.9,15.1,8.0,6.4,4.9,21.5,21.6,-0.7,2026,0
Golden State Warriors,21,11,10,0.52,48.2,114.5,39.4,87.3,45.1,15.9,44.2,35.9,19.9,24.1,82.4,11.2,31.8,43.0,27.4,16.2,9.9,4.4,3.8,21.0,19.5,1,2026,0
Chicago Bulls,19,9,10,0.47,48.5,119.9,43.2,91.3,47.3,14.4,38.7,37.3,19.1,24.2,78.9,10.3,35.9,46.2,29.4,15.1,7.5,5.2,6.1,21.1,20.5,-3.1,2026,0
Memphis Grizzlies,21,9,12,0.43,48.2,113.4,40.2,90.9,44.3,13.2,39.1,33.7,19.7,24.3,81,12.0,34.3,46.4,28.8,14.7,7.3,4.6,5.4,19.9,21,-3.1,2026,0
Milwaukee Bucks,21,9,12,0.43,48.5,115.5,42.9,87.1,49.2,15.5,37.9,41,14.2,20.1,70.7,8.3,31.6,39.9,27.0,14.5,8.3,4.3,4.3,22.1,18.9,-2.2,2026,0
Portland Trail Blazers,20,8,12,0.40,48.3,118.3,41.2,93.1,44.3,13.7,42.4,32.3,22.2,28,79.2,15.3,30.6,45.9,24.9,16.7,8.8,5.0,6.2,22.1,24,-2.9,2026,0
Utah Jazz,19,6,13,0.32,48.8,117.7,41.1,90.8,45.2,13.4,40.3,33.2,22.2,27.2,81.8,13.3,32.7,46.0,29.8,17.1,7.9,3.8,5.7,22.5,22.2,-7.7,2026,0
Charlotte Hornets,20,6,14,0.30,48.5,115.9,40.6,89.4,45.4,14.0,40.6,34.4,20.7,25,83,12.3,32.3,44.6,25.6,15.8,6.8,4.8,4.2,19.1,21.8,-4.3,2026,0
Dallas Mavericks,21,6,15,0.29,48.7,110.2,39.1,88.1,44.4,11.3,35.2,32.2,20.7,27.3,75.7,10.3,34.4,44.8,24.0,16.2,8.5,6.0,5.2,21.4,22.7,-5.7,2026,0
LA Clippers,20,5,15,0.25,48.5,111.8,39.4,83.9,47,12.9,36.0,35.9,20.1,23.8,84.6,9.6,31.3,40.9,23.8,16.0,8.4,4.9,4.1,20.6,20.1,-5.9,2026,0
Sacramento Kings,21,5,16,0.24,48.2,111.8,41.5,89.2,46.5,11.0,30.9,35.5,17.8,23.3,76.1,9.1,30.6,39.7,26.0,13.9,8.9,3.6,5.0,20.6,20,-11.1,2026,0
Indiana Pacers,20,4,16,0.20,48.5,109.8,38.7,91.4,42.4,11.8,37.1,31.7,20.6,26.8,77,12.4,32.9,45.3,23.6,14.6,7.0,5.4,4.6,23.4,22.7,-8.9,2026,0
Brooklyn Nets,19,3,16,0.16,48,108.4,37.2,84.7,43.9,13.8,41.1,33.6,20.2,25.9,77.8,11.1,27.9,39.0,24.3,15.4,6.7,3.7,4.4,20.7,22.3,-10.9,2026,0
New Orleans Pelicans,21,3,18,0.14,48.5,111.2,40.3,90.0,44.8,11.5,33.3,34.5,19,25,76.3,13.3,29.3,42.6,23.3,15.1,9.2,3.5,6.4,20.9,21.1,-10.9,2026,0
Washington Wizards,18,2,16,0.11,48.6,112.5,41.5,89.9,46.2,13.5,36.1,37.4,16,21.5,74.4,10.5,32.6,43.1,25.6,16.8,7.1,5.7,6.1,23.1,17.9,-15.2,2026,0
